"id","armA","armB","turnout","partyS","minor","norms","eu","smoke","polar"
3,1,0,0,0,-0.38565680520468,0.39665574964632,1,1,16.1052663229412
15,0,1,1,0,1.25961779424841,1.77734798512676,1,1,36.3624859041007
19,1,0,0,0,1.65298990409474,0.543612375655894,1,0,54.0695847423278
25,1,0,0,0,-1.77875282715881,-0.8791404474249,1,1,NA
28,0,1,1,0,2.74707951964521,1.69254338138956,1,0,72.5491455891849
59,1,0,0,0,1.02176797975007,2.01567775566873,0,0,NA
72,1,0,1,0,-0.869661786199904,1.13992251456683,1,0,63.3025307414746
84,1,0,1,0,0.394247164147467,-0.873584777196089,1,0,61.849801743379
99,1,0,1,1,-0.195647162677836,-0.234722760555946,1,0,74.71008007721
105,1,0,1,1,1.36221038159284,-0.891794830825194,1,0,50.1136314206274
108,1,0,1,0,-0.53937263648241,1.48471871029134,1,0,57.0441889472124
127,1,0,1,0,0.724618093246612,1.50434428705913,1,1,66.4807537485481
129,0,1,1,0,1.15821383675862,0.738704846463411,1,0,55.5690732243156
146,1,0,0,0,0.705809899554071,-0.66556633526613,1,0,70.2706666513857
149,1,0,0,0,1.22354535352875,1.69144791348249,0,0,67.8496867363658
154,1,0,1,0,1.66282089440829,0.326669891672166,1,0,35.1708495762843
160,1,0,1,1,1.98003385722625,1.42950460209257,1,0,65.5849065990422
187,1,0,0,0,-0.161554426394104,1.53639149543795,1,0,39.3338906962581
190,1,0,1,0,2.14982940333633,2.3628130527643,0,0,42.9624399179694
212,1,0,1,0,0.472384442208186,1.45024807139987,1,1,59.2925637560868
213,1,0,1,0,1.99326273820151,0.85654520651918,1,0,41.2438321053872
214,1,0,1,1,0.737220017798902,1.25247285297079,1,1,20.7526231338288
232,1,0,1,0,0.199030298969019,0.238936767166413,1,1,52.6597113543505
235,1,0,1,1,0.939218674388385,0.686205199268424,1,0,54.6649047564651
239,0,1,1,1,1.5101674935351,0.718793890265626,1,1,71.0767752925688
247,1,0,1,1,-0.472031432825727,-0.366958399053025,0,0,48.587998915411
249,1,0,1,0,-0.131951380452261,0.924545436921788,1,1,48.0828655642329
254,1,0,0,0,0.645381419126016,0.317133644546531,1,0,82.3041487161249
